,Unnamed: 0,Actors,Awards,BoxOffice,Country,DVD,Director,Error,Genre,Language,Metascore,Plot,Poster,Production,Rated,Ratings,Released,Response,Runtime,Title,Type,Website,Writer,Year,imdbID,imdbRating,imdbVotes,totalSeasons
0,0,"Zooey Deschanel, Joseph Gordon-Levitt, Scott Neustadter, Marc Webb",,,USA,,Charles de Lauzirika,,"Documentary, Short",English,,A behind-the-scenes documentary exploring the making of Marc Webb's 500 Days of Summer (2009).,,,Not Rated,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}]",22 Dec 2009,True,30 min,(500) Days of Summer,movie,,,2009,tt1572162,7.8,41,
1,1,"Hume Cronyn, Jessica Tandy, Frank McRae, Elizabeth Peña",2 wins & 1 nomination.,,USA,16 Mar 1999,Matthew Robbins,,"Comedy, Family, Fantasy, Sci-Fi","English, Spanish",54.0,Apartment block tenants seek the aid of alien mechanical life-forms to save their building from demolition.,https://m.media-amazon.com/images/M/MV5BM2JlMDgxOTYtNmI2My00YzY1LWIyZTgtYzY0MjY3Y2RiZmY2L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNTI4MjkwNjA@._V1_SX300.jpg,Universal Pictures,PG,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '60%'}, {'Source': 'Metacritic', 'Value': '54/100'}]",18 Dec 1987,True,106 min,*batteries not included,movie,,"Mick Garris (story by), Brad Bird (screenplay by), Matthew Robbins (screenplay by), Brent Maddock (screenplay by), S.S. Wilson (screenplay by)",1987,tt0092494,6.7,"29,262",
3,4,"John Goodman, Mary Elizabeth Winstead, John Gallagher Jr., Douglas M. Griffin",13 wins & 45 nominations.,"$59,481,553",USA,14 Jun 2016,Dan Trachtenberg,,"Drama, Horror, Mystery, Sci-Fi, Thriller",English,76.0,"After getting in a car accident, a woman is held in a shelter with two men, who claim the outside world is affected by a widespread chemical attack.",https://m.media-amazon.com/images/M/MV5BMjEzMjczOTIxMV5BMl5BanBnXkFtZTgwOTUwMjI3NzE@._V1_SX300.jpg,Bad Robot Productions,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '90%'}, {'Source': 'Metacritic', 'Value': '76/100'}]",11 Mar 2016,True,103 min,10 Cloverfield Lane,movie,,"Josh Campbell (screenplay by), Matthew Stuecken (screenplay by), Damien Chazelle (screenplay by), Josh Campbell (story by), Matthew Stuecken (story by)",2016,tt1179933,7.2,"267,933",
4,5,"Heath Ledger, Julia Stiles, Joseph Gordon-Levitt, Larisa Oleynik",2 wins & 12 nominations.,,USA,12 Oct 1999,Gil Junger,,"Comedy, Drama, Romance","English, French",70.0,"A pretty, popular teenager can't go out on a date until her ill-tempered older sister does.",https://m.media-amazon.com/images/M/MV5BMmVhZjhlZDYtMDAwZi00MDcyLTgzOTItOWNiZjY0YmE0MGE0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Buena Vista Pictures,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '68%'}, {'Source': 'Metacritic', 'Value': '70/100'}]",31 Mar 1999,True,97 min,10 Things I Hate About You,movie,,"Karen McCullah, Kirsten Smith",1999,tt0147800,7.3,"275,872",
5,6,"Charles Bronson, Lisa Eilbacher, Andrew Stevens, Gene Davis",,,USA,04 Feb 2003,J. Lee Thompson,,"Crime, Drama, Thriller",English,12.0,An LAPD detective and his rookie partner are on the trail of a psychopathic young man who is murdering young women.,https://m.media-amazon.com/images/M/MV5BMzc0OWVmZjQtMGUwZS00YjBiLTg5NmEtZWUyMTBjNWE2MThhXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,MGM,R,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '33%'}, {'Source': 'Metacritic', 'Value': '12/100'}]",11 Mar 1983,True,101 min,10 to Midnight,movie,,William Roberts,1983,tt0085121,6.3,"6,022",
6,7,"Steven Strait, Camilla Belle, Cliff Curtis, Joel Virgel",,"$94,700,000","USA, South Africa",24 Jun 2008,Roland Emmerich,,"Action, Adventure, Drama, Fantasy, History",English,34.0,"In the prehistoric past, D'Leh is a mammoth hunter who bonds with the beautiful Evolet. When warriors on horseback capture Evolet and the tribesmen, D'Leh must embark on an odyssey to save his true love.",https://m.media-amazon.com/images/M/MV5BMzc2NDMzNDY4Ml5BMl5BanBnXkFtZTYwNzM2Njk3._V1_SX300.jpg,Warner Bros. Pictures,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '5.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '8%'}, {'Source': 'Metacritic', 'Value': '34/100'}]",07 Mar 2008,True,109 min,"10,000 B.C.",movie,,"Roland Emmerich, Harald Kloser",2008,tt0443649,5.1,"121,138",
7,8,,,,,,,Movie not found!,,,,,,,,,,False,,101 Dalmatians,,,,,,,,
8,9,,,,,,,Movie not found!,,,,,,,,,,False,,101 Dalmatians,,,,,,,,
9,10,,,,,,,Movie not found!,,,,,,,,,,False,,101 Dalmatians,,,,,,,,
10,11,,,,,,,Movie not found!,,,,,,,,,,False,,101 Dalmatians,,,,,,,,
