Rank,Title,Release Date,Distributor,Genre,Gross,Tickets Sold,highest_grossing_year
1,Tom Sawyer,12/19/1930,,,11000000,31428571,1930
1,Frankenstein,11/21/1931,,Horror,12000000,34285714,1931
2,Ingagi,3/15/1931,,,4000000,11428571,1931
3,Mata Hari,12/26/1931,MGM,,900000,2571428,1931
1,King Kong,4/7/1933,,Horror,10000000,43478260,1933
2,She Done Him Wrong,2/9/1933,,,2000000,8695652,1933
3,42nd Street,3/9/1933,Warner Bros.,Musical,1438000,6252173,1933
1,It Happened One Night,2/22/1934,,Romantic Comedy,2500000,10869565,1934
2,Viva Villa!,4/27/1934,,,1100000,4782608,1934
1,Top Hat,9/6/1935,,,1782000,7425000,1935
1,How to Become a Detective,10/17/1936,,,6000000,24000000,1936
2,The Great Ziegfeld,3/23/1936,,,3000000,12000000,1936
3,San Francisco,6/26/1936,,,2868000,11472000,1936
4,Mr. Deeds Goes To Town,4/16/1936,,,2080000,8320000,1936
1,Snow White and the Seven Dwarfs,12/20/1975,Walt Disney,Musical,14400000,62608696,1937
2,Maytime,3/26/1937,,,3400000,14782608,1937
3,Waikiki Wedding,3/23/1937,,,3000000,13043478,1937
4,Conquest,10/22/1937,,,2100000,9130434,1937
5,Damaged Lives,6/13/1937,,Drama,1800000,7826086,1937
6,Parnell,6/4/1937,,,1600000,6956521,1937
1,Alexander's Ragtime Band,5/24/1938,20th Century Fox,Drama,4000000,17391304,1938
2,You Can't Take It With You,9/1/1938,,,4000000,17391304,1938
3,Sweethearts,12/22/1938,,,3000000,13043478,1938
1,The Wizard of Oz,9/23/2009,Warner Bros.,Musical,12270000,53347826,1939
2,Mr. Smith Goes To Washington,10/17/1939,Sony Pictures,Drama,9000000,39130434,1939
3,Gone with the Wind,10/14/1967,MGM,Drama,2471017,10743552,1939
4,Ninotchka,11/3/1939,,,1200000,5217391,1939
5,The Story of Vernon and Irene Castle,3/29/1939,,,1100000,4782608,1939
1,Pinocchio,12/21/1984,Walt Disney,Adventure,52012045,216716854,1940
2,Gone with the Wind,10/14/1967,MGM,Drama,28640094,119333725,1940
3,Fantasia,10/5/1990,Walt Disney,Musical,10470751,43628129,1940
4,Boom Town,8/30/1940,MGM,,9172000,38216666,1940
5,Rebecca,3/21/1940,MGM,Drama,6000000,25000000,1940
6,Road to Singapore,3/14/1940,Paramount Pictures,Comedy,3200000,13333333,1940
7,The Philadelphia Story,12/5/1940,MGM,Romantic Comedy,3000000,12500000,1940
1,Sergeant York,9/27/1941,,Drama,16400000,65600000,1941
2,Gone with the Wind,10/14/1967,MGM,Drama,12222222,48888888,1941
3,Suspicion,11/14/1941,,Thriller/Suspense,4500000,18000000,1941
4,Buck Privates,1/31/1941,Universal,Comedy,4000000,16000000,1941
5,A Yank in the R.A.F.,9/25/1941,,,4000000,16000000,1941
6,Honky Tonk,10/1/1941,,,3000000,12000000,1941
7,Tobacco Road,3/7/1941,,Drama,1900000,7600000,1941
8,Citizen Kane,5/1/1991,RKO Radio Pictures,Drama,262736,1050944,1941
1,Bambi,8/13/1942,RKO Radio Pictures,Drama,77836676,288283985,1942
2,Mrs. Miniver,6/4/1942,,Drama,13500000,50000000,1942
3,Yankee Doodle Dandy,6/6/1942,,Multiple Genres,11800000,43703703,1942
4,Woman of the Year,1/19/1942,,,6000000,22222222,1942
5,Once Upon a Honeymoon,11/2/1942,,,5200000,19259259,1942
6,Tales of Manhattan,8/5/1942,,,5200000,19259259,1942
7,For Me and My Gal,11/20/1942,,Multiple Genres,4400000,16296296,1942
8,Cat People,11/16/1942,RKO Radio Pictures,Drama,4000000,14814814,1942
9,Gone with the Wind,10/14/1967,MGM,Drama,3333333,12345678,1942
1,This is the Army,8/14/1943,,Musical,19500000,67241379,1943
2,For Whom the Bell Tolls,7/14/1943,,Multiple Genres,17800000,61379310,1943
3,The Song of Bernadette,12/25/1943,,Drama,12500000,43103448,1943
4,Casablanca,1/23/1943,Warner Bros.,Drama,10462500,36077586,1943
5,A Guy Named Joe,12/24/1943,MGM,Drama,5363000,18493103,1943
6,Girl Crazy,11/26/1943,,Musical,3800000,13103448,1943
7,Thousands Cheer,9/13/1943,,,3500000,12068965,1943
8,To The Shores of Tripoli,2/13/1943,,,2300000,7931034,1943
9,Jitterbugs,6/25/1943,,,1100000,3793103,1943
1,Going My Way,5/3/1944,,,16300000,50937500,1944
