,Rank,Title,Release Date,Distributor,Genre,Gross,Tickets Sold,highest_grossing_year
0,1,Tom Sawyer,"Dec 19, 1930",,,11000000,31428571,1930
1,1,Frankenstein,"Nov 21, 1931",,Horror,12000000,34285714,1931
2,2,Ingagi,"Mar 15, 1931",,,4000000,11428571,1931
3,3,Mata Hari,"Dec 26, 1931",MGM,,900000,2571428,1931
4,1,King Kong (1933),"Apr 7, 1933",,Horror,10000000,43478260,1933
5,2,She Done Him Wrong,"Feb 9, 1933",,,2000000,8695652,1933
6,3,42nd Street,"Mar 9, 1933",Warner Bros.,Musical,1438000,6252173,1933
7,1,It Happened One Night,"Feb 22, 1934",,Romantic Comedy,2500000,10869565,1934
8,2,Viva Villa!,"Apr 27, 1934",,,1100000,4782608,1934
9,1,Top Hat,"Sep 6, 1935",,,1782000,7425000,1935
10,1,How to Become a Detective,"Oct 17, 1936",,,6000000,24000000,1936
11,2,The Great Ziegfeld,"Mar 23, 1936",,,3000000,12000000,1936
12,3,San Francisco,"Jun 26, 1936",,,2868000,11472000,1936
13,4,Mr. Deeds Goes To Town,"Apr 16, 1936",,,2080000,8320000,1936
14,1,Snow White and the Seven Dw…,"Dec 20, 1975",Walt Disney,Musical,14400000,62608696,1937
15,2,Maytime,"Mar 26, 1937",,,3400000,14782608,1937
16,3,Waikiki Wedding,"Mar 23, 1937",,,3000000,13043478,1937
17,4,Conquest,"Oct 22, 1937",,,2100000,9130434,1937
18,5,Damaged Lives,"Jun 13, 1937",,Drama,1800000,7826086,1937
19,6,Parnell,"Jun 4, 1937",,,1600000,6956521,1937
20,1,Alexander's Ragtime Band,"May 24, 1938",20th Century Fox,Drama,4000000,17391304,1938
21,2,You Can't Take It With You,"Sep 1, 1938",,,4000000,17391304,1938
22,3,Sweethearts,"Dec 22, 1938",,,3000000,13043478,1938
23,1,The Wizard of Oz,"Sep 23, 2009",Warner Bros.,Musical,12270000,53347826,1939
24,2,Mr. Smith Goes To Washington,"Oct 17, 1939",Sony Pictures,Drama,9000000,39130434,1939
25,3,Gone with the Wind,"Oct 14, 1967",MGM,Drama,2471017,10743552,1939
26,4,Ninotchka,"Nov 3, 1939",,,1200000,5217391,1939
27,5,The Story of Vernon and Ire…,"Mar 29, 1939",,,1100000,4782608,1939
28,1,Pinocchio,"Dec 21, 1984",Walt Disney,Adventure,52012045,216716854,1940
29,2,Gone with the Wind,"Oct 14, 1967",MGM,Drama,28640094,119333725,1940
30,3,Fantasia,"Oct 5, 1990",Walt Disney,Musical,10470751,43628129,1940
31,4,Boom Town,"Aug 30, 1940",MGM,,9172000,38216666,1940
32,5,Rebecca,"Mar 21, 1940",MGM,Drama,6000000,25000000,1940
33,6,Road to Singapore,"Mar 14, 1940",Paramount Pictures,Comedy,3200000,13333333,1940
34,7,The Philadelphia Story,"Dec 5, 1940",MGM,Romantic Comedy,3000000,12500000,1940
35,1,Sergeant York,"Sep 27, 1941",,Drama,16400000,65600000,1941
36,2,Gone with the Wind,"Oct 14, 1967",MGM,Drama,12222222,48888888,1941
37,3,Suspicion,"Nov 14, 1941",,Thriller/Suspense,4500000,18000000,1941
38,4,A Yank in the R.A.F.,"Sep 25, 1941",,,4000000,16000000,1941
39,5,Buck Privates,"Jan 31, 1941",Universal,Comedy,4000000,16000000,1941
40,6,Honky Tonk,"Oct 1, 1941",,,3000000,12000000,1941
41,7,Tobacco Road,"Mar 7, 1941",,Drama,1900000,7600000,1941
42,8,Citizen Kane,"May 1, 1991",RKO Radio Pictures,Drama,262736,1050944,1941
43,1,Bambi,"Aug 13, 1942",RKO Radio Pictures,Drama,77836676,288283985,1942
44,2,Mrs. Miniver,"Jun 4, 1942",,Drama,13500000,50000000,1942
45,3,Yankee Doodle Dandy,"Jun 6, 1942",,Multiple Genres,11800000,43703703,1942
46,4,Woman of the Year,"Jan 19, 1942",,,6000000,22222222,1942
47,5,Once Upon a Honeymoon,"Nov 2, 1942",,,5200000,19259259,1942
48,6,Tales of Manhattan,"Aug 5, 1942",,,5200000,19259259,1942
49,7,For Me and My Gal,"Nov 20, 1942",,Multiple Genres,4400000,16296296,1942
50,8,Cat People,"Nov 16, 1942",RKO Radio Pictures,Drama,4000000,14814814,1942
51,9,Gone with the Wind,"Oct 14, 1967",MGM,Drama,3333333,12345678,1942
52,1,This is the Army,"Aug 14, 1943",,Musical,19500000,67241379,1943
53,2,For Whom the Bell Tolls,"Jul 14, 1943",,Multiple Genres,17800000,61379310,1943
54,3,The Song of Bernadette,"Dec 25, 1943",,Drama,12500000,43103448,1943
55,4,Casablanca,"Jan 23, 1943",Warner Bros.,Drama,10462500,36077586,1943
56,5,A Guy Named Joe,"Dec 24, 1943",MGM,Drama,5363000,18493103,1943
57,6,Girl Crazy,"Nov 26, 1943",,Musical,3800000,13103448,1943
58,7,Thousands Cheer,"Sep 13, 1943",,,3500000,12068965,1943
59,8,To The Shores of Tripoli,"Feb 13, 1943",,,2300000,7931034,1943
60,9,Jitterbugs,"Jun 25, 1943",,,1100000,3793103,1943
61,1,Going My Way,"May 3, 1944",,,16300000,50937500,1944
62,2,Meet Me in St. Louis,"Nov 28, 1944",,,12800000,40000000,1944
63,3,Bathing Beauty,"Jun 27, 1944",MGM,Musical,3500000,10937500,1944
64,4,Two Girls and a Sailor,"Apr 27, 1944",,,3500000,10937500,1944
65,5,Wilson,"Aug 1, 1944",,,2000000,6250000,1944
66,6,Snow White and the Seven Dw…,"Dec 20, 1975",Walt Disney,Musical,1400000,4375000,1944
67,1,The Bells of St. Mary's,"Dec 7, 1945",RKO Radio Pictures,Drama,21300000,60857142,1945
68,2,Mom and Dad,"Jan 3, 1945",,,16000000,45714285,1945
69,3,Leave Her to Heaven,"Dec 20, 1945",,,13800000,39428571,1945
70,4,The Lost Weekend,"Nov 29, 1945",,,11000000,31428571,1945
71,5,The Dolly Sisters,"Oct 5, 1945",,,10000000,28571428,1945
72,6,State Fair,"Aug 29, 1945",,,10000000,28571428,1945
73,7,The Valley of Decision,"May 3, 1945",,,9132000,26091428,1945
74,8,A Tree Grows in Brooklyn,"Feb 28, 1945",,,9000000,25714285,1945
75,9,Spellbound,"Oct 31, 1945",United Artists,Thriller/Suspense,7000000,20000000,1945
76,10,Anchors Aweigh,"Jul 19, 1945",MGM,Musical,4600000,13142857,1945
77,11,Thrill of a Romance,"May 23, 1945",,,4400000,12571428,1945
78,12,Dillinger,"Mar 2, 1945",,,4000000,11428571,1945
79,13,Ziegfeld Follies,"Aug 13, 1945",,,3600000,10285714,1945
80,14,The Clock,"May 25, 1945",,,2800000,8000000,1945
81,1,Song of the South,"Nov 12, 1946",Walt Disney,Adventure,49504170,123760425,1946
82,2,Notorious,"Aug 15, 1946",,Thriller/Suspense,24464742,61161855,1946
83,3,The Best Years of Our Lives,"Nov 21, 1946",RKO Radio Pictures,Drama,23600000,59000000,1946
84,4,Duel in the Sun,"Dec 31, 1946",,Western,20400000,51000000,1946
85,5,The Jolson Story,"Oct 10, 1946",,,19000000,47500000,1946
86,6,Blue Skies,"Oct 16, 1946",Paramount Pictures,Musical,14300000,35750000,1946
87,7,The Postman Always Rings Twice,"May 2, 1946",,,12000000,30000000,1946
88,8,Gilda,"Mar 14, 1946",,,10000000,25000000,1946
89,9,Margie,"Oct 16, 1946",,,10000000,25000000,1946
90,10,Night and Day,"Jul 2, 1946",,,7500000,18750000,1946
91,11,It's a Wonderful Life,"Dec 20, 1946",,Drama,6600000,16500000,1946
92,12,The Yearling,"Dec 18, 1946",,,5200000,13000000,1946
93,13,Easy to Wed,"Jul 11, 1946",,,4100000,10250000,1946
94,14,The Harvey Girls,"Jan 18, 1946",,Musical,4100000,10250000,1946
95,15,Holiday in Mexico,"Aug 15, 1946",,,3700000,9250000,1946
96,16,Two Sisters from Boston,"Jun 6, 1946",,,3600000,9000000,1946
97,17,Without Reservations,"May 13, 1946",,,3000000,7500000,1946
98,18,The Bandit of Sherwood Forest,"Feb 21, 1946",Sony Pictures,Adventure,3000000,7500000,1946
99,1,Forever Amber,"Jan 1, 1947",,,16000000,40000000,1947
100,2,Welcome Stranger,"Jun 13, 1947",,,15300000,38250000,1947
101,3,Gone with the Wind,"Oct 14, 1967",MGM,Drama,11111111,27777778,1947
102,4,Mother Wore Tights,"Aug 20, 1947",,,10000000,25000000,1947
103,5,The Hucksters,"Jul 17, 1947",,,8800000,22000000,1947
